BodyweightKg: Light -> Sprint Speed: Good Sprint;Q;T_ALL;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;
No of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;No;0,249898585229184;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,84;0,92;0,998924256633751;0,728471341093397;0,997655431124841;1;
Around 20% of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Around 20%;0,251698585229184;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,88;0,94;0,998924256633751;0,728471341093397;0,997655431124841;1;
Around one third of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Around one third;0,249898585229184;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,84;0,92;0,998924256633751;0,728471341093397;0,997655431124841;1;
Around 40% of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Around 40%;0,251698585229184;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,88;0,94;0,998924256633751;0,728471341093397;0,997655431124841;1;
Less than a third of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Less than a third;0,236398585229184;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,64;0,67;0,998924256633751;0,728471341093397;0,997655431124841;1;
Around half of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Around half;0,786761686833306;0,769518716577318;0,507640536216693;0,668630637952052;0,668630637952052;1;0,8;0,9;0,998924256633751;0,728471341093397;0,997655431124841;1;
Around three quaters of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Around three quaters;0,409435483625061;0,230481283422682;0,507640536216693;0,668630637952052;0,668630637952052;1;0,8;0,9;0,998924256633751;0,728471341093397;0,997655431124841;1;
Majority of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Majority;0,250348585229184;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,85;0,925;0,998924256633751;0,728471341093397;0,997655431124841;1;
All of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;All;0,248848585229184;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,85;0,875;0,998924256633751;0,728471341093397;0,997655431124841;1;
Less than 1000 of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Less than 1000;0,946349426515662;1;0,507640536216693;0,668630637952052;0,668630637952052;1;0,94483367352568;0,696861036023611;0,998924256633751;0,728471341093397;0,997655431124841;1;
Around 1500 of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Around 1500;0,256602088290915;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,988966734705136;0,994483367352568;0,998924256633751;0,728471341093397;0,997655431124841;1;
Around 3000 of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;Around 3000;0,256602088290915;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,988966734705136;0,994483367352568;0,998924256633751;0,728471341093397;0,997655431124841;1;
More than 5000 of soccer players being/having BodyweightKg: Light are/have Sprint Speed: Good Sprint;More than 5000;0,255451870383925;0;0,507640536216693;0,668630637952052;0,668630637952052;1;0,97241683676284;0,972692668395212;0,998924256633751;0,728471341093397;0,997655431124841;1;
