Age: Adult -> Stamina: Bad Stamina;Q;T_ALL;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;
Less than 1000 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Less than 1000;0,909153171383149;1;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,94483367352568;0,696861036023611;0,998896673470514;0,256633750758537;0,999558669388205;1;
Less than a third of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Less than a third;0,89920233009667;1;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,64;0,67;0,998896673470514;0,256633750758537;0,999558669388205;1;
No of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;No;0,582124088390561;0,527745368991273;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,84;0,92;0,998896673470514;0,256633750758537;0,999558669388205;1;
Around 1500 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Around 1500;0,219405833158401;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,988966734705136;0,994483367352568;0,998896673470514;0,256633750758537;0,999558669388205;1;
Around 3000 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Around 3000;0,219405833158401;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,988966734705136;0,994483367352568;0,998896673470514;0,256633750758537;0,999558669388205;1;
More than 5000 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;More than 5000;0,218255615251412;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,97241683676284;0,972692668395212;0,998896673470514;0,256633750758537;0,999558669388205;1;
Around 20% of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Around 20%;0,21450233009667;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,88;0,94;0,998896673470514;0,256633750758537;0,999558669388205;1;
Around 40% of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Around 40%;0,21450233009667;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,88;0,94;0,998896673470514;0,256633750758537;0,999558669388205;1;
Majority of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Majority;0,21315233009667;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,85;0,925;0,998896673470514;0,256633750758537;0,999558669388205;1;
Around one third of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Around one third;0,21270233009667;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,84;0,92;0,998896673470514;0,256633750758537;0,999558669388205;1;
All of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;All;0,21165233009667;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,85;0,875;0,998896673470514;0,256633750758537;0,999558669388205;1;
Around half of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Around half;0,21090233009667;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,8;0,9;0,998896673470514;0,256633750758537;0,999558669388205;1;
Around three quaters of soccer players being/having Age: Adult are/have Stamina: Bad Stamina;Around three quaters;0,21090233009667;0;0,89005351133668;0,0924675324675325;0,0924675324675325;1;0,8;0,9;0,998896673470514;0,256633750758537;0,999558669388205;1;
